model_name,accuracy,precision,recall,f1,roc_auc
MobileNetV2,0.9935064935064936,0.9936338171632288,0.9935064935064936,0.9935064935064936,0.9991198122266084
ResNet50V2,0.9805194805194806,0.9808965544259661,0.9805194805194806,0.9805213170949016,0.9972010710619765
VGG16,0.8831168831168831,0.8869998104950225,0.8831168831168831,0.8818733972813586,0.9799097614871911
Logistic Regression,0.7792207792207793,0.7845667328034045,0.7792207792207793,0.7770137084653214,0.9171990114566776
Custom CNN (Adam+L1),0.5844155844155844,0.3995538218171745,0.5844155844155844,0.470858957160327,0.7909503682417746
